OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,TotalParoRegistrado,PAD_1C02,PAD_1_COD_PROV,PAD_1_COD_CCAA,Shape__Area,Shape__Length
10232,14014,Cañete de las Torres,14,01,120,3000,,,162702977.666626,82281.9244618225
10233,14015,Carcabuey,14,01,122,2471,,,126734793.725708,47493.9749581822
10234,14016,Cardeña,14,01,130,1532,,,833517844.771362,167916.181929746
10235,14017,"Carlota, La",14,01,1200,14010,,,126231264.409668,71354.0278658492
10236,14018,"Carpio, El",14,01,507,4480,,,75168530.0383301,45887.6723496548
10237,14019,Castro del Río,14,01,349,7881,,,351600068.089355,116111.072911456
10238,14020,Conquista,14,01,24,418,,,62870340.543457,34392.5085757904
10239,14021,Córdoba,14,01,38807,325916,,,2028705870.51099,297201.315318295
10240,14022,Doña Mencía,14,01,195,4718,,,24220948.7531738,22431.1421565468
10241,14023,Dos Torres,14,01,249,2426,,,210919196.993652,132151.738429164
10242,14024,Encinas Reales,14,01,184,2297,,,54032676.2749023,47874.2671670361
10243,14025,Espejo,14,01,123,3375,,,89630177.4509277,50166.9212843687
10244,14026,Espiel,14,01,293,2474,,,707860526.674561,208162.05817418
10245,14027,Fernán-Núñez,14,01,899,9680,,,47639112.9418945,33556.8447026715
10246,14028,Fuente la Lancha,14,01,61,345,,,12776253.3681641,20557.1043349701
10247,14029,Fuente Obejuna,14,01,770,4734,,,960748971.802002,159311.421361926
10248,14030,Fuente Palmera,14,01,708,10871,,,119617766.119873,140598.907808092
10249,14031,Fuente-Tójar,14,01,42,705,,,37682224.1307373,32459.2536312387
10250,14032,"Granjuela, La",14,01,84,474,,,91439509.3337402,42684.7983517767
10251,14033,Guadalcázar,14,01,145,1605,,,115219742.77124,69228.3241286729
10252,14034,"Guijo, El",14,01,36,355,,,110088962.596191,56760.6106584822
10253,14035,Hinojosa del Duque,14,01,983,6922,,,867523210.295654,182297.025044169
10254,14036,Hornachuelos,14,01,315,4575,,,1464526752.25293,247646.817009088
10255,14037,Iznájar,14,01,141,4405,,,215683737.966675,75418.5597081078
10256,14038,Lucena,14,01,4587,42511,,,556917203.934326,120711.288472357
10257,14039,Luque,14,01,166,3051,,,224364699.135498,80619.6911017261
10258,14040,Montalbán de Córdoba,14,01,141,4420,,,53639946.1870117,47632.4302261636
10259,14041,Montemayor,14,01,262,3902,,,92592219.4428711,54426.4382910519
10260,14042,Montilla,14,01,2217,23209,,,268708923.691162,84669.5071013056
10261,14043,Montoro,14,01,761,9518,,,948090461.742065,211698.36232319
10262,14044,Monturque,14,01,112,1994,,,52204378.8117676,38726.3740726318
10263,14045,Moriles,14,01,235,3775,,,31077386.1923828,38431.6223479602
10264,14046,Nueva Carteya,14,01,147,5396,,,110403292.340088,55959.8854886442
10265,14047,Obejo,14,01,210,2011,,,346938587.187012,107889.475742131
10266,14048,Palenciana,14,01,82,1515,,,25454524.0087891,25145.0190041309
10267,14049,Palma del Río,14,01,1584,21162,,,320077206.184082,108335.950527669
10268,14050,Pedro Abad,14,01,323,2864,,,37806416.5202637,30228.0204149817
10269,14051,Pedroche,14,01,173,1567,,,198489646.226563,89015.1241885743
10270,14052,Peñarroya-Pueblonuevo,14,01,1789,11031,,,105707649.281982,66111.7397083657
10271,14053,Posadas,14,01,645,7411,,,257397621.02124,75108.2238216902
10272,14054,Pozoblanco,14,01,1674,17285,,,535992141.984375,192144.172848241
10273,14055,Priego de Córdoba,14,01,1643,22697,,,457972706.14502,146399.842408891
10274,14056,Puente Genil,14,01,3317,30173,,,271533996.891113,84703.1663806135
10275,14057,"Rambla, La",14,01,551,7547,,,216341105.124756,147801.05737204
10276,14058,Rute,14,01,508,9994,,,209787198.707031,68778.9308239033
10277,14059,San Sebastián de los Ballesteros,14,01,48,808,,,16869408.3881836,35908.758076214
10278,14060,Santaella,14,01,329,6049,,,432874362.809082,110939.212640773
10279,14061,Santa Eufemia,14,01,91,794,,,307239867.43042,113649.137235193
10280,14062,Torrecampo,14,01,106,1123,,,321053755.854004,106176.45273997
10281,14063,Valenzuela,14,01,23,1189,,,30940253.5256348,26534.6648214076
10282,14064,Valsequillo,14,01,41,367,,,198974088.202637,68413.8226829621
10283,14065,"Victoria, La",14,01,193,2327,,,30952066.0029297,47637.7567892293
10284,14066,Villa del Río,14,01,619,7251,,,35581057.8931885,36617.7358612708
10285,14067,Villafranca de Córdoba,14,01,489,4886,,,93908540.6564941,53548.2153275765
10286,14068,Villaharta,14,01,67,662,,,19369509.3034668,18975.3880341099
10287,14069,Villanueva de Córdoba,14,01,663,8886,,,698046192.456299,147550.530897157
10288,14070,Villanueva del Duque,14,01,142,1504,,,224127336.156738,111006.293859073
10289,14071,Villanueva del Rey,14,01,139,1081,,,349440698.556641,91422.7665253612
10290,14072,Villaralto,14,01,61,1171,,,39304083.6911621,29193.4201746322
10291,14073,Villaviciosa de Córdoba,14,01,373,3347,,,755079845.060303,145845.639774772
10292,14074,"Viso, El",14,01,221,2586,,,417022969.75708,177218.906892791
10293,14075,Zuheros,14,01,29,644,,,67391962.7659912,33924.1376899288
10294,15001,Abegondo,15,12,294,5467,,,158010617.98291,82557.9546291771
10295,15002,Ames,15,12,2206,30835,,,149230987.866211,97579.1106312988
10296,15003,Aranga,15,12,73,1935,,,226433668.200195,83047.1694451306
10297,15004,Ares,15,12,500,5658,,,34701932.7675781,47549.3708217472
10298,15005,Arteixo,15,12,2563,31534,,,176328367.754395,79956.2143874584
10299,15006,Arzúa,15,12,360,6123,,,290043985.733887,106376.997651142
10300,15007,"Baña, A",15,12,247,3541,,,183084297.354004,72735.3173253459
10301,15008,Bergondo,15,12,435,6623,,,61829028.3237305,36963.1945726045
10302,15009,Betanzos,15,12,948,12941,,,45772289.206543,44364.4305040167
10303,15010,Boimorto,15,12,84,2040,,,154109616.945801,78077.2553618606
10304,15011,Boiro,15,12,1448,18885,,,160186033.90332,84745.5663392947
10305,15012,Boqueixón,15,12,228,4242,,,136126198.180664,74232.4321042597
10306,15013,Brión,15,12,473,7699,,,139426239.329102,82400.1495006957
10307,15014,Cabana de Bergantiños,15,12,347,4347,,,188402511.225098,94416.5365832584
10308,15015,Cabanas,15,12,230,3314,,,56432614.6723633,43155.822408602
10309,15016,Camariñas,15,12,471,5419,,,97445214.9072266,81209.293426543
10310,15017,Cambre,15,12,1684,24348,,,76901540.1010742,49963.1379596076
10311,15018,"Capela, A",15,12,79,1274,,,108587698.979492,45981.1802342964
10312,15019,Carballo,15,12,3009,31195,,,351879035.150391,121308.936327294
10313,15020,Carnota,15,12,274,4060,,,131585436.609375,88088.7854317873
10314,15021,Carral,15,12,338,6237,,,90448806.7993164,66458.8689305034
10315,15022,Cedeira,15,12,409,6888,,,163321398.810059,91121.2008742899
10316,15023,Cee,15,12,665,7539,,,107466275.076172,70327.0072051197
10317,15024,Cerceda,15,12,269,4992,,,208604399.809082,74745.1589302238
10318,15025,Cerdido,15,12,60,1170,,,100604822.933105,54502.0270089262
10319,15027,Coirós,15,12,84,1801,,,63407004.1132813,46662.5743268065
10320,15028,Corcubión,15,12,119,1592,,,12160886.3583984,20627.5985323491
10321,15029,Coristanco,15,12,595,6313,,,265380285.676758,97150.3217880271
10322,15030,"Coruña, A",15,12,18988,244099,,,71006855.7270508,64533.9572516937
10323,15031,Culleredo,15,12,2196,29982,,,117654790.655273,55758.6000479975
10324,15032,Curtis,15,12,187,3968,,,219060464.129395,86920.2565417313
10325,15033,Dodro,15,12,228,2832,,,66959228.3618164,43264.5683399361
10326,15034,Dumbría,15,12,285,3053,,,233252916.744141,91853.6711591533
10327,15035,Fene,15,12,1140,13110,,,51789843.7441406,46965.2573279982
10328,15036,Ferrol,15,12,6361,67569,,,156810955.952148,110907.827194423
10329,15037,Fisterra,15,12,446,4734,,,54910978.9609375,51882.929932591
10330,15038,Frades,15,12,135,2422,,,153110140.893066,74289.307583666
10331,15039,Irixoa,15,12,62,1361,,,128812005.765137,67873.9494517625
10332,15040,Laxe,15,12,301,3090,,,68448333.059082,46111.5949241895
10333,15041,"Laracha, A",15,12,785,11281,,,237021086.455078,100065.472042392
10334,15042,Lousame,15,12,200,3447,,,173852728.966797,82654.5891163018
10335,15043,Malpica de Bergantiños,15,12,384,5518,,,115913693.125,89450.7362576197
10336,15044,Mañón,15,12,65,1391,,,157081845.26416,119751.440324666
10337,15045,Mazaricos,15,12,225,4014,,,349509339.746582,122794.461387255
10338,15046,Melide,15,12,521,7503,,,189078866.067871,87588.6370180902
10339,15047,Mesía,15,12,136,2637,,,200216044.476074,93965.0148353999
10340,15048,Miño,15,12,405,5905,,,61544349.3212891,51424.460603891
10341,15049,Moeche,15,12,63,1230,,,92410389.3188477,49430.0927455359
10342,15050,Monfero,15,12,95,1985,,,326503443.650391,101513.32380199
10343,15051,Mugardos,15,12,471,5303,,,24242785.6923828,31771.2003888675
10344,15052,Muxía,15,12,349,4852,,,227303861.503418,109525.226168044
10345,15053,Muros,15,12,518,8792,,,135346578.105469,88698.3797356021
10346,15054,Narón,15,12,3321,39280,,,127699377.434082,78214.3285397683
10347,15055,Neda,15,12,413,5165,,,45720584.4370117,39225.2054037321
10348,15056,Negreira,15,12,541,6883,,,214670362.050781,105957.028044514
