id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
0Y37p9Ihf5mst64Bk5dKHA==,-34.594052,-58.383521,Retiro,1.0,1.0,49.0,49.0,77000.0,Departamento
LBbW/eXSzboIfMUY0+BZ/Q==,-34.597373,-58.378471,Retiro,1.0,1.0,32.0,32.0,160000.0,Departamento
MhBkTf5wbHk5V2cHGl5Bpw==,-34.598423,-58.372898,Retiro,1.0,1.0,40.0,38.0,115000.0,Departamento
6NNbOhTr0HhErb1gCzZV1g==,-34.5803595,-58.4253276,Palermo,1.0,1.0,24.0,24.0,60000.0,Departamento
07QaqxqPLk4ClcUPsfwP3Q==,-34.567047,-58.432941,Palermo,1.0,1.0,36.0,33.0,125000.0,Departamento
ul48VNWxz+0i7edqjIsb1g==,-34.5869283,-58.4190061,Palermo,1.0,1.0,29.0,29.0,79000.0,Departamento
LvKoaH+1mrXu46/rSKaLtA==,-34.5902085,-58.4206179,Palermo,1.0,1.0,40.0,40.0,129000.0,Departamento
JMTHGtUTRxkh7RUiq4DKfA==,-34.5648238362,-58.4393324486,Belgrano,1.0,1.0,31.0,30.0,95000.0,Departamento
o8FA7+G18Tm8n5Up1UMmZg==,-34.6132878,-58.4312694,Caballito,1.0,1.0,36.0,32.0,92000.0,Departamento
VB3l01J6aDDyCN4AWwMbHQ==,-34.62797546,-58.43385315,Caballito,1.0,1.0,41.0,41.0,80000.0,Departamento
0eYiQFJAG7VeTMH37FfdSQ==,-34.62786865,-58.44327545,Caballito,2.0,1.0,62.0,58.0,129000.0,Departamento
UsmY5A5M4s863RwgXH96pQ==,-34.602623,-58.382406,Tribunales,1.0,1.0,20.0,20.0,55000.0,Departamento
mwogHzjIuWGs7rXq0zU2sg==,-34.5996792,-58.3992302,Barrio Norte,2.0,1.0,30.0,30.0,85000.0,Departamento
+Rwlqretx61eNjmGtzRvmQ==,-34.5971756,-58.43909836,Villa Crespo,2.0,2.0,74.0,74.0,146000.0,Departamento
CpHoEzV1suJltJ1uQr07Lg==,-34.5858522,-58.4755355,Villa Urquiza,1.0,1.0,33.0,30.0,80000.0,Departamento
+hGSCKiNNpOdPgiPdJlMPA==,-34.57156372,-58.47990799,Villa Urquiza,2.0,2.0,70.0,61.0,230000.0,Departamento
v+/VcCmbNAvjH6SA1hfKUA==,-34.6182785,-58.47066116,Villa General Mitre,3.0,2.0,93.0,93.0,105000.0,Departamento
U52fT3mW5sLGG4orrmWMWA==,-34.606491,-58.386846,San Nicolás,3.0,2.0,82.0,82.0,178800.0,PH
qR0QM6FiihLfhO077JmhjA==,-34.6305379,-58.4192214,Boedo,2.0,1.0,42.0,42.0,104000.0,Departamento
q7uSpz+6QWRXBERWZV1kkA==,-34.629544,-58.416007,Boedo,2.0,1.0,41.0,41.0,78500.0,Departamento
p4sTSj8iSnGC3lPAuOeyFA==,-34.6335432,-58.422992,Boedo,2.0,1.0,31.0,31.0,69000.0,Departamento
rKWxT+gpUIJbhHeNIlu5OQ==,-34.63345,-58.468196,Flores,2.0,1.0,44.0,41.0,82000.0,Departamento
PEfl7TyFsEikaSSUG5xvvw==,-34.62343,-58.465288,Flores,2.0,1.0,43.0,43.0,81000.0,Departamento
H/0izYa4BHl4y6M1RTKkVQ==,-34.6336296,-58.4689923,Flores,2.0,1.0,38.0,38.0,79000.0,Departamento
EpEPmqEDudxVSKnxVndDfQ==,-34.619359,-58.464048,Flores,2.0,1.0,43.0,43.0,117900.0,Departamento
tKKfyonaOM6isTxewhFc4g==,-34.5487021,-58.4644412,Nuñez,2.0,1.0,68.0,38.0,150000.0,Departamento
5mX+4AOVxpucfOfRfJnRLA==,-34.5549798,-58.4613633,Nuñez,2.0,1.0,56.0,52.0,165000.0,Departamento
LYCOkBVD5QaGwSKVetE+DA==,-34.5541541,-58.4618086,Nuñez,2.0,1.0,56.0,52.0,159000.0,Departamento
crLxzL0CnTauRc/Mo+2NJQ==,-34.5963573,-58.3753623,Retiro,1.0,1.0,45.0,45.0,110000.0,Departamento
RIT7BqRaL6BMlMqHZxEQkg==,-34.6022028,-58.429374,Almagro,2.0,1.0,42.0,42.0,79000.0,Departamento
OsugaUO0RQTcZ7nhD75ELw==,-34.6033341,-58.4206027,Almagro,2.0,1.0,64.0,47.0,129900.0,Departamento
O2yoqB8jd7sW3A87CJgnkA==,-34.555291,-58.476482,Coghlan,2.0,1.0,48.0,48.0,120000.0,Departamento
tqFAuh7z2rd0WFnaSOOU/g==,-34.6424898,-58.5154752,Liniers,2.0,1.0,48.0,48.0,105000.0,Departamento
z7s6n3MO/Y7vt29jLgXB9Q==,-34.568029,-58.432927,Palermo,2.0,1.0,37.0,37.0,109800.0,Departamento
Nt/pJubz/uBIa/IsPm42dw==,-34.5814642,-58.4264066,Palermo,2.0,1.0,33.0,33.0,75000.0,Departamento
ZSAx6Hv+Ks44AfXbL3dKPA==,-34.573855,-58.4219,Palermo,1.0,1.0,32.0,32.0,88000.0,Departamento
wdgBdtHNznbu+wz3W8WgkA==,-34.592555,-58.426311,Palermo,1.0,1.0,28.0,28.0,72000.0,Departamento
iqubzjHaf8zgwpvh3dheqw==,-34.5906256,-58.4190465,Palermo,2.0,1.0,50.0,45.0,178000.0,Departamento
e9kWoMxQU4KtMWBoIXRaGg==,-34.5781727,-58.4246445,Palermo,2.0,1.0,40.0,38.0,110000.0,Departamento
wYNMWFT/9Tq7rzAGeKI2lw==,-34.59732979,-58.42413734,Palermo,2.0,1.0,40.0,40.0,87000.0,Departamento
tgc/7nGpYlvU9izxurm9PA==,-34.582823,-58.410491,Palermo,2.0,1.0,78.0,78.0,260000.0,Departamento
Ze0iLdnSg1UlvGL7XCMPMA==,-34.575569,-58.430531,Palermo,2.0,1.0,53.0,46.0,208000.0,Departamento
wITKYS+pCmZ6q5v+uEF/RQ==,-34.59732979,-58.42413734,Palermo,2.0,2.0,83.0,54.0,172000.0,Departamento
lG45UNm7nEM8Da4XqQRo4A==,-34.645192,-58.374789,Barracas,2.0,1.0,67.0,67.0,128000.0,Departamento
KL8mn274L8VWpClIavpo9A==,-34.6404223,-58.3786344,Barracas,2.0,1.0,70.0,70.0,169000.0,Departamento
mvEbTJJ7jq14tQgLz0/wkg==,-34.5740311,-58.4605435,Belgrano,2.0,1.0,53.0,53.0,130000.0,Departamento
X1SvV92vCECKz7unyxEQKA==,-34.5587843,-58.4461583,Belgrano,2.0,1.0,54.0,54.0,260000.0,Departamento
cMGCiq6ekzxsE98v3rqcow==,-34.574563,-58.4380696,Belgrano,2.0,2.0,66.0,66.0,330000.0,Departamento
